Home,Away,Home_Score,Away_Score,Home_B2B,Away_B2B
Thunder,Bucks,,,False,False
Knicks,Pacers,,,False,False
Heat,Cavaliers,,,True,False
Nuggets,Pelicans,,,False,False
Spurs,Suns,,,False,False
Mavericks,Magic,,,True,False
76ers,Lakers,,,False,False
Timberwolves,Kings,,,False,False
Bucks,Warriors,,,False,True
Pacers,Rockets,,,False,False
Cavaliers,Clippers,,,False,True
Pelicans,Grizzlies,,,False,False
Suns,Hawks,,,False,False
Magic,Bulls,,,False,False
Lakers,Jazz,,,True,False
Kings,Nets,,,False,False
Warriors,Raptors,,,False,False
Rockets,Trail Blazers,,,False,False
Clippers,Hornets,,,False,True
Grizzlies,Pistons,,,False,False
Hawks,Wizards,,,False,False
Bulls,Celtics,,,False,True
Jazz,Thunder,,,False,False
Nets,Knicks,,,True,False
Raptors,Heat,,,False,False
Trail Blazers,Nuggets,,,False,False
Hornets,Spurs,,,False,False
Pistons,Mavericks,,,False,True
Wizards,76ers,,,False,False
Celtics,Bucks,,,False,True
Thunder,Pacers,,,False,False
Knicks,Cavaliers,,,False,False
Heat,Pelicans,,,False,False
Nuggets,Suns,,,False,False
Spurs,Magic,,,True,True
Mavericks,Lakers,,,False,False
76ers,Kings,,,False,False
Timberwolves,Warriors,,,False,False
Bucks,Rockets,,,False,False
Pacers,Clippers,,,True,True
Cavaliers,Grizzlies,,,False,False
Pelicans,Hawks,,,False,False
Suns,Bulls,,,False,True
Magic,Jazz,,,False,False
Lakers,Nets,,,True,True
Kings,Raptors,,,False,False
Warriors,Trail Blazers,,,False,False
Rockets,Hornets,,,False,False
Clippers,Pistons,,,False,True
Grizzlies,Wizards,,,False,False
Hawks,Celtics,,,False,False
Bulls,Thunder,,,False,False
Jazz,Knicks,,,False,False
Nets,Heat,,,False,False
Raptors,Nuggets,,,False,False
Trail Blazers,Spurs,,,False,False
Hornets,Mavericks,,,False,False
Pistons,76ers,,,False,False
Wizards,Timberwolves,,,False,False
Celtics,Pacers,,,False,False
Thunder,Cavaliers,,,True,False
Knicks,Pelicans,,,False,False
Heat,Suns,,,False,False
Nuggets,Magic,,,False,False
Spurs,Lakers,,,False,False
Mavericks,Kings,,,False,False
76ers,Warriors,,,False,False
Timberwolves,Rockets,,,False,False
Bucks,Clippers,,,False,True
Pacers,Grizzlies,,,False,False
Cavaliers,Hawks,,,False,False
Pelicans,Bulls,,,False,False
Suns,Jazz,,,True,True
Magic,Nets,,,False,False
Lakers,Raptors,,,False,False
Kings,Trail Blazers,,,True,False
Warriors,Hornets,,,False,False
Rockets,Pistons,,,False,False
Clippers,Wizards,,,False,False
Grizzlies,Celtics,,,False,True
Hawks,Thunder,,,False,False
Bulls,Knicks,,,False,False
Jazz,Heat,,,False,False
Nets,Nuggets,,,False,False
Raptors,Spurs,,,False,True
Trail Blazers,Mavericks,,,True,True
Hornets,76ers,,,True,False
Pistons,Timberwolves,,,False,False
Wizards,Bucks,,,False,False
Celtics,Cavaliers,,,False,False
Thunder,Pelicans,,,False,False
Knicks,Suns,,,False,True
Heat,Magic,,,False,False
Nuggets,Lakers,,,False,True
Spurs,Kings,,,False,False
Mavericks,Warriors,,,False,False
76ers,Rockets,,,False,False
Timberwolves,Clippers,,,True,False
Bucks,Grizzlies,,,False,False
Pacers,Hawks,,,False,False
Cavaliers,Bulls,,,False,True
Pelicans,Jazz,,,False,False
Suns,Nets,,,False,False
Magic,Raptors,,,False,False
Lakers,Trail Blazers,,,False,False
Kings,Hornets,,,True,False
Warriors,Pistons,,,False,False
Rockets,Wizards,,,False,False
Clippers,Celtics,,,False,True
Grizzlies,Thunder,,,True,False
Hawks,Knicks,,,False,False
Bulls,Heat,,,False,False
Jazz,Nuggets,,,False,True
Nets,Spurs,,,False,False
Raptors,Mavericks,,,False,True
Trail Blazers,76ers,,,False,False
Hornets,Timberwolves,,,False,False
Pistons,Bucks,,,False,False
Wizards,Pacers,,,False,False
Celtics,Pelicans,,,False,True
Thunder,Suns,,,False,False
Knicks,Magic,,,False,False
Heat,Lakers,,,False,False
Nuggets,Kings,,,False,False
Spurs,Warriors,,,True,False
Mavericks,Rockets,,,False,False
76ers,Clippers,,,False,True
Timberwolves,Grizzlies,,,False,False
Bucks,Hawks,,,False,True
Pacers,Bulls,,,False,False
Cavaliers,Jazz,,,False,False
Pelicans,Nets,,,False,False
Suns,Raptors,,,False,False
Magic,Trail Blazers,,,False,False
Lakers,Hornets,,,False,False
Kings,Pistons,,,False,False
Warriors,Wizards,,,True,False
Rockets,Celtics,,,False,True
Clippers,Thunder,,,True,False
Grizzlies,Knicks,,,False,False
Hawks,Heat,,,False,True
Bulls,Nuggets,,,False,True
Jazz,Spurs,,,False,True
Nets,Mavericks,,,False,False
Raptors,76ers,,,False,False
Trail Blazers,Timberwolves,,,False,False
Hornets,Bucks,,,True,False
Pistons,Pacers,,,False,False
Wizards,Cavaliers,,,False,False
Celtics,Suns,,,False,False
Thunder,Magic,,,False,False
Knicks,Lakers,,,False,False
Heat,Kings,,,True,True
Nuggets,Warriors,,,False,True
Spurs,Rockets,,,False,False
Mavericks,Clippers,,,True,True
76ers,Grizzlies,,,False,False
Timberwolves,Hawks,,,False,True
Bucks,Bulls,,,False,True
Pacers,Jazz,,,True,True
Cavaliers,Nets,,,False,True
Pelicans,Raptors,,,True,False
Suns,Trail Blazers,,,False,False
Magic,Hornets,,,False,False
Lakers,Pistons,,,False,False
Kings,Wizards,,,True,False
Warriors,Celtics,,,False,False
Rockets,Thunder,,,False,False
Clippers,Knicks,,,True,False
Grizzlies,Heat,,,False,True
Hawks,Nuggets,,,False,False
Bulls,Spurs,,,False,False
Jazz,Mavericks,,,False,False
Nets,76ers,,,False,False
Raptors,Timberwolves,,,True,False
Trail Blazers,Bucks,,,False,False
Hornets,Pacers,,,True,True
Pistons,Cavaliers,,,True,False
Wizards,Pelicans,,,True,False
Celtics,Magic,,,False,True
Thunder,Lakers,,,False,False
Knicks,Kings,,,False,False
Heat,Warriors,,,False,False
Nuggets,Rockets,,,False,False
Spurs,Clippers,,,False,False
Mavericks,Grizzlies,,,False,False
76ers,Hawks,,,False,False
Timberwolves,Bulls,,,False,False
Bucks,Jazz,,,False,False
Pacers,Nets,,,False,False
Cavaliers,Raptors,,,True,False
Pelicans,Trail Blazers,,,True,False
Suns,Hornets,,,False,True
Magic,Pistons,,,False,False
Lakers,Wizards,,,False,False
Kings,Celtics,,,False,False
Warriors,Thunder,,,False,False
Rockets,Knicks,,,False,False
Clippers,Heat,,,False,False
Grizzlies,Nuggets,,,True,False
Hawks,Spurs,,,False,False
Bulls,Mavericks,,,False,False
Jazz,76ers,,,False,False
Nets,Timberwolves,,,False,False
Raptors,Bucks,,,False,True
Trail Blazers,Pacers,,,False,False
Hornets,Cavaliers,,,False,False
Pistons,Pelicans,,,False,False
Wizards,Suns,,,False,False
Celtics,Lakers,,,False,False
Thunder,Kings,,,False,False
Knicks,Warriors,,,False,False
Heat,Rockets,,,False,False
Nuggets,Clippers,,,False,True
Spurs,Grizzlies,,,False,False
Mavericks,Hawks,,,False,False
76ers,Bulls,,,True,False
Timberwolves,Jazz,,,False,False
Bucks,Nets,,,False,False
Pacers,Raptors,,,True,True
Cavaliers,Trail Blazers,,,False,False
Pelicans,Hornets,,,False,False
Suns,Pistons,,,True,False
Magic,Wizards,,,False,False
Lakers,Celtics,,,False,True
Kings,Thunder,,,True,True
Warriors,Knicks,,,False,False
Rockets,Heat,,,False,False
Clippers,Nuggets,,,False,True
Grizzlies,Spurs,,,False,False
Hawks,Mavericks,,,False,False
Bulls,76ers,,,False,False
Jazz,Timberwolves,,,True,False
Nets,Bucks,,,False,True
Raptors,Pacers,,,False,False
Trail Blazers,Cavaliers,,,True,True
Hornets,Pelicans,,,False,True
Pistons,Suns,,,False,False
Wizards,Magic,,,False,False
Celtics,Kings,,,True,False
Thunder,Warriors,,,True,True
Knicks,Rockets,,,True,False
Heat,Clippers,,,False,False
Nuggets,Grizzlies,,,False,False
Spurs,Hawks,,,False,False
Mavericks,Bulls,,,False,False
76ers,Jazz,,,False,False
Timberwolves,Nets,,,True,False
Bucks,Raptors,,,False,False
Pacers,Trail Blazers,,,False,True
Cavaliers,Hornets,,,False,False
Pelicans,Pistons,,,False,False
Suns,Wizards,,,False,False
Magic,Celtics,,,False,False
Lakers,Thunder,,,False,False
Kings,Knicks,,,True,True
Warriors,Heat,,,False,False
Rockets,Nuggets,,,False,False
Clippers,Spurs,,,False,False
Grizzlies,Mavericks,,,False,False
Hawks,76ers,,,True,True
Bulls,Timberwolves,,,False,False
Jazz,Bucks,,,False,False
Nets,Pacers,,,False,False
Raptors,Cavaliers,,,False,False
Trail Blazers,Pelicans,,,False,False
Hornets,Suns,,,False,False
Pistons,Magic,,,False,False
Wizards,Lakers,,,False,True
Celtics,Warriors,,,False,True
Thunder,Rockets,,,False,False
Knicks,Clippers,,,False,False
Heat,Grizzlies,,,False,False
Nuggets,Hawks,,,True,True
Spurs,Bulls,,,False,True
Mavericks,Jazz,,,False,True
76ers,Nets,,,False,True
Timberwolves,Raptors,,,False,False
Bucks,Trail Blazers,,,False,False
Pacers,Hornets,,,False,False
Cavaliers,Pistons,,,True,False
Pelicans,Wizards,,,False,False
Suns,Celtics,,,False,False
Magic,Thunder,,,False,False
Lakers,Knicks,,,False,False
Kings,Heat,,,False,False
Warriors,Nuggets,,,True,False
Rockets,Spurs,,,False,False
Clippers,Mavericks,,,True,False
Grizzlies,76ers,,,False,False
Hawks,Timberwolves,,,False,False
Bulls,Bucks,,,False,False
Jazz,Pacers,,,True,False
Nets,Cavaliers,,,True,False
Raptors,Pelicans,,,True,False
Trail Blazers,Suns,,,False,False
Hornets,Magic,,,False,False
Pistons,Lakers,,,False,False
Wizards,Kings,,,False,False
Celtics,Rockets,,,False,False
Thunder,Clippers,,,False,False
Knicks,Grizzlies,,,False,False
Heat,Hawks,,,False,False
Nuggets,Bulls,,,False,False
Spurs,Jazz,,,False,False
Mavericks,Nets,,,False,False
76ers,Raptors,,,False,True
Timberwolves,Trail Blazers,,,False,False
Bucks,Hornets,,,False,False
Pacers,Pistons,,,False,False
Cavaliers,Wizards,,,False,False
Pelicans,Celtics,,,False,False
Suns,Thunder,,,True,True
Magic,Knicks,,,False,False
Lakers,Heat,,,True,False
Kings,Nuggets,,,False,True
Warriors,Spurs,,,True,False
Rockets,Mavericks,,,False,False
Clippers,76ers,,,True,False
Grizzlies,Timberwolves,,,False,True
Hawks,Bucks,,,False,True
Bulls,Pacers,,,False,False
Jazz,Cavaliers,,,False,False
Nets,Pelicans,,,False,False
Raptors,Suns,,,False,True
Trail Blazers,Magic,,,False,False
Hornets,Lakers,,,False,False
Pistons,Kings,,,False,False
Wizards,Warriors,,,False,False
Celtics,Clippers,,,False,True
Thunder,Grizzlies,,,True,False
Knicks,Hawks,,,False,False
Heat,Bulls,,,False,False
Nuggets,Jazz,,,False,True
Spurs,Nets,,,False,False
Mavericks,Raptors,,,False,False
76ers,Trail Blazers,,,True,False
Timberwolves,Hornets,,,False,True
Bucks,Pistons,,,False,False
Pacers,Wizards,,,False,False
Cavaliers,Celtics,,,False,True
Pelicans,Thunder,,,False,False
Suns,Knicks,,,True,True
Magic,Heat,,,True,False
Lakers,Nuggets,,,False,False
Kings,Spurs,,,False,False
Warriors,Mavericks,,,False,True
Rockets,76ers,,,False,True
Clippers,Timberwolves,,,False,False
Grizzlies,Bucks,,,False,False
Hawks,Pacers,,,True,True
Bulls,Cavaliers,,,False,False
Jazz,Pelicans,,,False,True
Nets,Suns,,,False,False
Raptors,Magic,,,True,False
Trail Blazers,Lakers,,,False,False
Hornets,Kings,,,False,False
Pistons,Warriors,,,False,False
Wizards,Rockets,,,False,False
Celtics,Grizzlies,,,False,True
Thunder,Hawks,,,False,False
Knicks,Bulls,,,False,False
Heat,Jazz,,,False,False
Nuggets,Nets,,,False,True
Spurs,Raptors,,,False,False
Mavericks,Trail Blazers,,,False,False
76ers,Hornets,,,False,False
Timberwolves,Pistons,,,False,False
Bucks,Wizards,,,False,False
Pacers,Celtics,,,True,False
Cavaliers,Thunder,,,False,False
Pelicans,Knicks,,,False,False
Suns,Heat,,,False,False
Magic,Nuggets,,,False,True
Lakers,Spurs,,,False,True
Kings,Mavericks,,,False,False
Warriors,76ers,,,False,False
Rockets,Timberwolves,,,False,False
Clippers,Bucks,,,False,True
Grizzlies,Pacers,,,False,False
Hawks,Cavaliers,,,False,False
Bulls,Pelicans,,,True,False
Jazz,Suns,,,False,False
Nets,Magic,,,False,False
Raptors,Lakers,,,False,True
Trail Blazers,Kings,,,False,False
Hornets,Warriors,,,False,False
Pistons,Rockets,,,False,False
Wizards,Clippers,,,False,False
Celtics,Hawks,,,True,True
Thunder,Bulls,,,False,False
Knicks,Jazz,,,True,False
Heat,Nets,,,True,False
Nuggets,Raptors,,,False,False
Spurs,Trail Blazers,,,True,False
Mavericks,Hornets,,,False,False
76ers,Pistons,,,False,False
Timberwolves,Wizards,,,False,False
Bucks,Celtics,,,False,False
Pacers,Thunder,,,False,False
Cavaliers,Knicks,,,False,False
Pelicans,Heat,,,False,False
Suns,Nuggets,,,False,True
Magic,Spurs,,,False,False
Lakers,Mavericks,,,False,False
Kings,76ers,,,False,True
Warriors,Timberwolves,,,False,False
Rockets,Bucks,,,False,True
Clippers,Pacers,,,False,True
Grizzlies,Cavaliers,,,False,False
Hawks,Pelicans,,,True,False
Bulls,Suns,,,False,False
Jazz,Magic,,,False,False
Nets,Lakers,,,True,False
Raptors,Kings,,,False,False
Trail Blazers,Warriors,,,True,False
Hornets,Rockets,,,False,False
Pistons,Clippers,,,False,False
Wizards,Grizzlies,,,False,False
Celtics,Bulls,,,False,True
Thunder,Jazz,,,False,True
Knicks,Nets,,,False,False
Heat,Raptors,,,False,False
Nuggets,Trail Blazers,,,True,False
Spurs,Hornets,,,False,False
Mavericks,Pistons,,,False,False
76ers,Wizards,,,False,False
Timberwolves,Celtics,,,False,False
Bucks,Thunder,,,True,True
Pacers,Knicks,,,False,False
Cavaliers,Heat,,,False,True
Pelicans,Nuggets,,,False,False
Suns,Spurs,,,False,False
Magic,Mavericks,,,False,False
Lakers,76ers,,,False,False
Kings,Timberwolves,,,False,False
Warriors,Bucks,,,False,False
Rockets,Pacers,,,True,False
Clippers,Cavaliers,,,False,False
Grizzlies,Pelicans,,,False,False
Hawks,Suns,,,False,False
Bulls,Magic,,,False,True
Jazz,Lakers,,,True,True
Nets,Kings,,,False,False
Raptors,Warriors,,,False,False
Trail Blazers,Rockets,,,False,False
Hornets,Clippers,,,False,False
Pistons,Grizzlies,,,False,False
Wizards,Hawks,,,False,True
Celtics,Jazz,,,True,True
Thunder,Nets,,,False,True
Knicks,Raptors,,,False,False
Heat,Trail Blazers,,,False,False
Nuggets,Hornets,,,False,False
Spurs,Pistons,,,False,False
Mavericks,Wizards,,,False,True
76ers,Celtics,,,False,True
Timberwolves,Thunder,,,False,False
Bucks,Knicks,,,False,False
Pacers,Heat,,,False,True
Cavaliers,Nuggets,,,True,False
Pelicans,Spurs,,,False,False
Suns,Mavericks,,,False,False
Magic,76ers,,,False,False
Lakers,Timberwolves,,,False,False
Kings,Bucks,,,False,False
Warriors,Pacers,,,False,False
Rockets,Cavaliers,,,False,False
Clippers,Pelicans,,,False,False
Grizzlies,Suns,,,False,True
Hawks,Magic,,,False,False
Bulls,Lakers,,,False,False
Jazz,Kings,,,False,True
Nets,Warriors,,,True,False
Raptors,Rockets,,,False,True
Trail Blazers,Clippers,,,False,True
Hornets,Grizzlies,,,False,False
Pistons,Hawks,,,False,False
Wizards,Bulls,,,False,False
Celtics,Nets,,,False,False
Thunder,Raptors,,,False,False
Knicks,Trail Blazers,,,False,False
Heat,Hornets,,,False,False
Nuggets,Pistons,,,False,True
Spurs,Wizards,,,False,False
Mavericks,Celtics,,,False,False
76ers,Thunder,,,False,False
Timberwolves,Knicks,,,False,False
Bucks,Heat,,,True,False
Pacers,Nuggets,,,False,True
Cavaliers,Spurs,,,False,True
Pelicans,Mavericks,,,False,False
Suns,76ers,,,False,False
Magic,Timberwolves,,,False,False
Lakers,Bucks,,,False,False
Kings,Pacers,,,False,False
Warriors,Cavaliers,,,False,False
Rockets,Pelicans,,,False,False
Clippers,Suns,,,True,False
Grizzlies,Magic,,,False,False
Hawks,Lakers,,,False,False
Bulls,Kings,,,False,False
Jazz,Warriors,,,False,False
Nets,Rockets,,,True,False
Raptors,Clippers,,,False,False
Trail Blazers,Grizzlies,,,False,False
Hornets,Hawks,,,False,False
Pistons,Bulls,,,False,False
Wizards,Jazz,,,False,False
Celtics,Raptors,,,True,False
Thunder,Trail Blazers,,,False,False
Knicks,Hornets,,,False,False
Heat,Pistons,,,False,False
Nuggets,Wizards,,,False,False
Spurs,Celtics,,,False,False
Mavericks,Thunder,,,False,False
76ers,Knicks,,,True,False
Timberwolves,Heat,,,True,False
Bucks,Nuggets,,,False,False
Pacers,Spurs,,,False,False
Cavaliers,Mavericks,,,False,False
Pelicans,76ers,,,False,False
Suns,Timberwolves,,,False,False
Magic,Bucks,,,False,False
Lakers,Pacers,,,False,False
Kings,Cavaliers,,,False,True
Warriors,Pelicans,,,False,False
Rockets,Suns,,,False,True
Clippers,Magic,,,True,False
Grizzlies,Lakers,,,False,False
Hawks,Kings,,,False,False
Bulls,Warriors,,,False,False
Jazz,Rockets,,,True,False
Nets,Clippers,,,False,False
Raptors,Grizzlies,,,True,False
Trail Blazers,Hawks,,,False,False
Hornets,Bulls,,,False,False
Pistons,Jazz,,,False,False
Wizards,Nets,,,False,False
Celtics,Trail Blazers,,,True,False
Thunder,Hornets,,,False,True
Knicks,Pistons,,,False,False
Heat,Wizards,,,True,False
Nuggets,Celtics,,,False,True
Spurs,Thunder,,,False,False
Mavericks,Knicks,,,False,False
76ers,Heat,,,False,False
Timberwolves,Nuggets,,,False,False
Bucks,Spurs,,,False,False
Pacers,Mavericks,,,False,False
Cavaliers,76ers,,,False,False
Pelicans,Timberwolves,,,False,False
Suns,Bucks,,,False,True
Magic,Pacers,,,False,False
Lakers,Cavaliers,,,False,False
Kings,Pelicans,,,True,False
Warriors,Suns,,,False,False
Rockets,Magic,,,False,False
Clippers,Lakers,,,False,True
Grizzlies,Kings,,,False,False
Hawks,Warriors,,,False,False
Bulls,Rockets,,,False,False
Jazz,Clippers,,,False,False
Nets,Grizzlies,,,False,False
Raptors,Hawks,,,False,False
Trail Blazers,Bulls,,,False,False
Hornets,Jazz,,,False,True
Pistons,Nets,,,False,True
Wizards,Raptors,,,False,True
Celtics,Hornets,,,False,False
Thunder,Pistons,,,False,True
Knicks,Wizards,,,True,False
Heat,Celtics,,,True,False
Nuggets,Thunder,,,False,False
Spurs,Knicks,,,False,True
Mavericks,Heat,,,False,False
76ers,Nuggets,,,False,False
Timberwolves,Spurs,,,False,True
Bucks,Mavericks,,,True,False
Pacers,76ers,,,False,False
Cavaliers,Timberwolves,,,True,False
Pelicans,Bucks,,,False,False
Suns,Pacers,,,False,False
Magic,Cavaliers,,,True,False
Lakers,Pelicans,,,False,False
Kings,Suns,,,False,True
Warriors,Magic,,,True,False
Rockets,Lakers,,,False,False
Clippers,Kings,,,True,False
Grizzlies,Warriors,,,False,True
Hawks,Rockets,,,False,False
Bulls,Clippers,,,False,False
Jazz,Grizzlies,,,False,False
Nets,Hawks,,,False,False
Raptors,Bulls,,,False,False
Trail Blazers,Jazz,,,True,False
Hornets,Nets,,,False,False
Pistons,Raptors,,,False,True
Wizards,Trail Blazers,,,False,False
Celtics,Pistons,,,False,False
Thunder,Wizards,,,False,False
Knicks,Celtics,,,False,False
Heat,Thunder,,,False,True
Nuggets,Knicks,,,True,False
Spurs,Heat,,,False,False
Mavericks,Nuggets,,,False,False
76ers,Spurs,,,False,False
Timberwolves,Mavericks,,,False,False
Bucks,76ers,,,False,False
Pacers,Timberwolves,,,True,False
Cavaliers,Bucks,,,False,False
Pelicans,Pacers,,,False,False
Suns,Cavaliers,,,False,False
Magic,Pelicans,,,False,True
Lakers,Suns,,,False,False
Kings,Magic,,,False,True
Warriors,Lakers,,,False,False
Rockets,Kings,,,False,True
Clippers,Warriors,,,False,False
Grizzlies,Rockets,,,False,True
Hawks,Clippers,,,True,False
Bulls,Grizzlies,,,False,False
Jazz,Hawks,,,False,False
Nets,Bulls,,,False,False
Raptors,Jazz,,,False,True
Trail Blazers,Nets,,,False,False
Hornets,Raptors,,,False,False
Pistons,Trail Blazers,,,False,True
Wizards,Hornets,,,False,False
Celtics,Wizards,,,True,False
Thunder,Celtics,,,True,False
Knicks,Thunder,,,True,False
Heat,Knicks,,,True,False
Nuggets,Heat,,,False,False
Spurs,Nuggets,,,False,False
Mavericks,Spurs,,,False,True
76ers,Mavericks,,,False,False
Timberwolves,76ers,,,False,False
